#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_16579 flag=1 multi=4.0000 len=590	0.0000	590	0.3949	0.0000	0	0	0	0.0000	0	0.00
k127_17424 flag=1 multi=5.0000 len=1364	0.0000	1364	0.4956	0.0000	0	0	0	0.0000	0	0.00
k127_17751 flag=1 multi=25.9897 len=516	0.0000	516	0.4535	0.0000	0	0	0	0.0000	0	0.00
k127_17948 flag=1 multi=3.0000 len=507	0.0000	507	0.3748	0.0000	0	0	0	0.0000	0	0.00
k127_18283 flag=0 multi=25.8964 len=2541	25.9390	2541	0.4656	97.6781	2482	223	227	0.4717	26	14.47
k127_18398 flag=1 multi=5.0000 len=637	0.0000	637	0.4144	0.0000	0	0	0	0.0000	0	0.00
k127_18538 flag=0 multi=841.8899 len=7250	1094.7268	7250	0.3828	100.0000	7250	26909	27416	0.3884	1030	506.28
k127_18680 flag=1 multi=12.0000 len=371	0.0000	371	0.4528	0.0000	0	0	0	0.0000	0	0.00
k127_18722 flag=0 multi=40.6589 len=429	0.0000	429	0.5245	0.0000	0	0	0	0.0000	0	0.00
k127_18854 flag=1 multi=5.0000 len=590	4.2780	590	0.5000	100.0000	590	9	9	0.4887	4	1.51
k127_20224 flag=1 multi=5.0000 len=686	6.5292	686	0.4636	100.0000	686	19	18	0.4601	5	4.30
k127_21645 flag=0 multi=355.5556 len=559	0.0000	559	0.3202	0.0000	0	0	0	0.0000	0	0.00
k127_22468 flag=1 multi=8.0000 len=1622	0.0000	1622	0.3853	0.0000	0	0	0	0.0000	0	0.00
k127_22760 flag=1 multi=6.0000 len=477	4.8973	477	0.4025	100.0000	477	9	7	0.3913	4	3.82
k127_22866 flag=1 multi=5.0000 len=753	0.0000	753	0.5073	0.0000	0	0	0	0.0000	0	0.00
k127_24289 flag=0 multi=318.1463 len=2464	466.8738	2464	0.4428	100.0000	2464	3777	4162	0.4430	441	183.09
k127_24469 flag=1 multi=4.0000 len=439	0.0000	439	0.4305	0.0000	0	0	0	0.0000	0	0.00
k127_24644 flag=1 multi=5.0000 len=585	0.0000	585	0.4051	0.0000	0	0	0	0.0000	0	0.00
k127_25323 flag=0 multi=339.0810 len=2399	586.9950	2399	0.4848	100.0000	2399	4878	4818	0.4850	524	235.90
k127_25545 flag=1 multi=4.0000 len=543	0.0000	543	0.5267	0.0000	0	0	0	0.0000	0	0.00
k127_26270 flag=1 multi=5.0000 len=614	0.0000	614	0.4202	0.0000	0	0	0	0.0000	0	0.00
k127_26463 flag=1 multi=2.0000 len=412	0.0000	412	0.4102	0.0000	0	0	0	0.0000	0	0.00
k127_26648 flag=0 multi=199.2809 len=3812	311.9481	3812	0.3513	100.0000	3812	4081	4080	0.3580	273	144.66
k127_27400 flag=1 multi=2.0000 len=303	2.3234	303	0.3993	100.0000	303	3	2	0.4162	2	0.90
k127_27502 flag=1 multi=1.0000 len=558	0.0000	558	0.3280	0.0000	0	0	0	0.0000	0	0.00
k127_28084 flag=1 multi=7.0000 len=1081	0.0000	1081	0.4080	0.0000	0	0	0	0.0000	0	0.00
k127_29606 flag=0 multi=424.5231 len=3943	0.0000	3943	0.4705	0.0000	0	0	0	0.0000	0	0.00
k127_29804 flag=1 multi=2.0000 len=439	0.0000	439	0.3941	0.0000	0	0	0	0.0000	0	0.00
k127_30314 flag=1 multi=4.0000 len=604	0.9934	604	0.4934	39.0728	236	2	2	0.4883	0	1.46
k127_30751 flag=1 multi=5.0000 len=440	0.0000	440	0.6114	0.0000	0	0	0	0.0000	0	0.00
k127_31748 flag=1 multi=5.0000 len=1287	10.8135	1287	0.3504	97.5913	1256	47	47	0.3476	10	5.75
k127_32046 flag=1 multi=5.0000 len=711	0.0000	711	0.4248	0.0000	0	0	0	0.0000	0	0.00
k127_32048 flag=1 multi=1.0000 len=321	0.0000	321	0.3956	0.0000	0	0	0	0.0000	0	0.00
k127_32418 flag=1 multi=2.0000 len=325	0.0000	325	0.3815	0.0000	0	0	0	0.0000	0	0.00
k127_33261 flag=1 multi=9.3766 len=1322	0.0000	1322	0.4735	0.0000	0	0	0	0.0000	0	0.00
k127_33454 flag=1 multi=2.0000 len=319	0.0000	319	0.4169	0.0000	0	0	0	0.0000	0	0.00
k127_33985 flag=1 multi=4.0000 len=368	4.2120	368	0.3071	100.0000	368	7	4	0.3206	5	1.44
k127_34359 flag=1 multi=17.4779 len=5358	3.5496	5358	0.4569	86.0769	4612	65	65	0.4571	3	3.14
k127_34503 flag=1 multi=4.7710 len=603	59.5522	603	0.4726	100.0000	603	115	134	0.4614	49	33.29
k127_35244 flag=1 multi=6.1566 len=2490	0.0000	2490	0.4225	0.0000	0	0	0	0.0000	0	0.00
k127_35267 flag=1 multi=5.0000 len=574	0.0000	574	0.5017	0.0000	0	0	0	0.0000	0	0.00
k127_35478 flag=1 multi=8.0000 len=812	9.0739	812	0.4889	36.3300	295	26	25	0.5380	0	14.94
k127_35873 flag=0 multi=82.3483 len=6360	53.2643	6360	0.4431	63.2390	4022	1166	1162	0.4574	60	48.78
k127_35898 flag=0 multi=12.0000 len=3031	0.0000	3031	0.5533	0.0000	0	0	0	0.0000	0	0.00
k127_36027 flag=1 multi=3.0000 len=347	3.8127	347	0.3314	100.0000	347	6	3	0.3500	4	1.44
k127_36066 flag=1 multi=2.0000 len=378	1.5794	378	0.4471	100.0000	378	2	2	0.4422	2	0.50
k127_36241 flag=1 multi=2.0000 len=307	0.0000	307	0.5407	0.0000	0	0	0	0.0000	0	0.00
k127_36249 flag=1 multi=2.0000 len=423	0.0000	423	0.3688	0.0000	0	0	0	0.0000	0	0.00
k127_36496 flag=1 multi=8.0000 len=893	0.5689	893	0.3225	27.8835	249	2	2	0.3366	0	0.94
k127_36709 flag=1 multi=3.0000 len=1236	0.0000	1236	0.5032	0.0000	0	0	0	0.0000	0	0.00
k127_36843 flag=1 multi=12.0000 len=1526	0.0000	1526	0.4345	0.0000	0	0	0	0.0000	0	0.00
k127_36990 flag=1 multi=5.0000 len=1930	5.1513	1930	0.5067	96.4767	1862	34	34	0.5155	5	3.05
k127_37069 flag=1 multi=9.6857 len=1600	52.9700	1600	0.5050	99.9375	1599	295	289	0.5063	39	47.31
k127_37098 flag=1 multi=18.5092 len=4921	3.7192	4921	0.6308	91.0790	4482	62	62	0.6305	3	2.93
k127_37878 flag=1 multi=14.0000 len=3250	0.0000	3250	0.3982	0.0000	0	0	0	0.0000	0	0.00
k127_37960 flag=1 multi=1.0000 len=436	2.0642	436	0.3716	100.0000	436	3	3	0.3789	2	0.97
k127_38114 flag=1 multi=2.0000 len=551	3.2123	551	0.4664	100.0000	551	6	6	0.4599	3	1.29
k127_38549 flag=1 multi=6.0000 len=436	0.0000	436	0.3807	0.0000	0	0	0	0.0000	0	0.00
k127_40574 flag=1 multi=2.0000 len=312	0.0000	312	0.3333	0.0000	0	0	0	0.0000	0	0.00
k127_40924 flag=0 multi=42.9851 len=3492	0.0000	3492	0.5384	0.0000	0	0	0	0.0000	0	0.00
k127_41989 flag=1 multi=4.0000 len=418	0.0000	418	0.4211	0.0000	0	0	0	0.0000	0	0.00
k127_42019 flag=1 multi=6.0000 len=938	5.2729	938	0.4232	100.0000	938	16	17	0.4177	6	2.26
k127_42261 flag=1 multi=11.0000 len=4572	0.3937	4572	0.3911	21.3911	978	6	6	0.4283	0	0.83
k127_42891 flag=1 multi=3.0000 len=396	0.0000	396	0.3687	0.0000	0	0	0	0.0000	0	0.00
k127_43089 flag=1 multi=3.0000 len=587	0.0000	587	0.3799	0.0000	0	0	0	0.0000	0	0.00
k127_43442 flag=0 multi=127.8411 len=920	143.4011	920	0.4033	100.0000	920	464	447	0.4123	136	56.24
k127_43859 flag=1 multi=7.0000 len=917	0.0000	917	0.4711	0.0000	0	0	0	0.0000	0	0.00
k127_43872 flag=1 multi=4.0000 len=541	0.0000	541	0.4603	0.0000	0	0	0	0.0000	0	0.00
k127_44196 flag=1 multi=2.0000 len=340	0.0000	340	0.4324	0.0000	0	0	0	0.0000	0	0.00
k127_44379 flag=0 multi=356.6250 len=5223	2.3643	5223	0.3889	78.5372	4102	43	42	0.3987	2	1.89
k127_44436 flag=1 multi=5.0000 len=315	0.0000	315	0.4508	0.0000	0	0	0	0.0000	0	0.00
k127_44956 flag=1 multi=7.0000 len=841	0.0000	841	0.3080	0.0000	0	0	0	0.0000	0	0.00
k127_45096 flag=1 multi=6.0000 len=391	0.0000	391	0.3683	0.0000	0	0	0	0.0000	0	0.00
k127_45989 flag=1 multi=4.0000 len=905	0.0000	905	0.4309	0.0000	0	0	0	0.0000	0	0.00
k127_46349 flag=1 multi=68.1169 len=3121	0.0000	3121	0.5376	0.0000	0	0	0	0.0000	0	0.00
k127_46371 flag=0 multi=75.2975 len=1344	104.5179	1344	0.4762	100.0000	1344	483	484	0.4733	111	38.84
k127_46872 flag=1 multi=6.0000 len=306	0.0000	306	0.4967	0.0000	0	0	0	0.0000	0	0.00
k127_46887 flag=1 multi=10.0000 len=2605	14.1509	2605	0.3965	100.0000	2605	124	127	0.3940	12	8.23
k127_47102 flag=1 multi=2.0000 len=541	0.0000	541	0.4972	0.0000	0	0	0	0.0000	0	0.00
k127_47607 flag=0 multi=49.0560 len=395	15.6886	395	0.4228	100.0000	395	22	24	0.4171	16	9.58
k127_48193 flag=0 multi=121.3249 len=5122	23.4576	5122	0.4584	99.8048	5112	399	424	0.4592	21	11.43
k127_48457 flag=1 multi=9.0000 len=440	0.0000	440	0.4068	0.0000	0	0	0	0.0000	0	0.00
k127_48873 flag=1 multi=3.0000 len=319	3.2790	319	0.3668	100.0000	319	3	4	0.3614	3	1.63
k127_48987 flag=1 multi=1.0000 len=365	0.0000	365	0.3534	0.0000	0	0	0	0.0000	0	0.00
k127_49836 flag=1 multi=4.0000 len=317	0.0000	317	0.3186	0.0000	0	0	0	0.0000	0	0.00
k127_49972 flag=1 multi=5.0000 len=430	0.0000	430	0.4349	0.0000	0	0	0	0.0000	0	0.00
k127_50052 flag=1 multi=3.0000 len=1122	3.4287	1122	0.3164	98.8414	1109	13	13	0.3130	3	2.11
k127_50374 flag=1 multi=8.0000 len=301	0.0000	301	0.5349	0.0000	0	0	0	0.0000	0	0.00
k127_50401 flag=1 multi=2.0000 len=355	0.0000	355	0.4254	0.0000	0	0	0	0.0000	0	0.00
k127_53038 flag=1 multi=5.0000 len=535	0.0000	535	0.4075	0.0000	0	0	0	0.0000	0	0.00
k127_53737 flag=1 multi=7.0000 len=1486	0.0000	1486	0.5222	0.0000	0	0	0	0.0000	0	0.00
k127_54190 flag=1 multi=3.0000 len=429	1.9371	429	0.4172	69.4639	298	4	2	0.4019	1	1.93
k127_54997 flag=1 multi=5.0000 len=392	0.0000	392	0.3495	0.0000	0	0	0	0.0000	0	0.00
k127_55311 flag=1 multi=1.0000 len=322	0.0000	322	0.3416	0.0000	0	0	0	0.0000	0	0.00
k127_57463 flag=1 multi=3.0000 len=513	0.0000	513	0.4483	0.0000	0	0	0	0.0000	0	0.00
k127_57474 flag=1 multi=6.0000 len=551	0.0000	551	0.3013	0.0000	0	0	0	0.0000	0	0.00
k127_58135 flag=1 multi=3.0000 len=324	2.2932	324	0.4352	62.0370	201	3	3	0.3997	2	2.13
k127_58849 flag=1 multi=8.0000 len=924	0.0000	924	0.5108	0.0000	0	0	0	0.0000	0	0.00
k127_59617 flag=1 multi=3.0000 len=375	0.0000	375	0.4987	0.0000	0	0	0	0.0000	0	0.00
k127_59664 flag=1 multi=2.0000 len=526	1.1407	526	0.4335	57.6046	303	2	2	0.4300	1	1.13
k127_60276 flag=1 multi=8.0000 len=1456	0.0000	1456	0.5110	0.0000	0	0	0	0.0000	0	0.00
k127_60811 flag=1 multi=3.0000 len=979	0.0000	979	0.3851	0.0000	0	0	0	0.0000	0	0.00
k127_61251 flag=1 multi=2.0000 len=413	1.4455	413	0.3826	100.0000	413	2	2	0.3752	1	0.50
k127_61387 flag=1 multi=6.0000 len=915	0.0000	915	0.4568	0.0000	0	0	0	0.0000	0	0.00
k127_61442 flag=1 multi=7.0000 len=1261	0.0000	1261	0.3632	0.0000	0	0	0	0.0000	0	0.00
k127_61570 flag=1 multi=4.0000 len=677	0.0000	677	0.4372	0.0000	0	0	0	0.0000	0	0.00
k127_62139 flag=1 multi=4.0000 len=531	0.0000	531	0.4388	0.0000	0	0	0	0.0000	0	0.00
k127_62985 flag=1 multi=1.0000 len=303	3.4653	303	0.3795	100.0000	303	6	1	0.3457	2	2.33
k127_63371 flag=1 multi=1.0000 len=350	0.0000	350	0.3143	0.0000	0	0	0	0.0000	0	0.00
k127_63659 flag=1 multi=13.6697 len=348	31.5460	348	0.3621	100.0000	348	40	36	0.3356	34	17.11
k127_64629 flag=1 multi=83.0000 len=341	0.0000	341	0.3930	0.0000	0	0	0	0.0000	0	0.00
k127_65141 flag=1 multi=4.0000 len=809	3.6625	809	0.3585	100.0000	809	10	10	0.3766	3	2.84
k127_65311 flag=1 multi=70.7291 len=2991	1.2922	2991	0.4009	61.6516	1844	14	12	0.3999	1	1.41
k127_65704 flag=0 multi=106.0000 len=1803	19.4382	1803	0.4581	100.0000	1803	118	125	0.4593	17	9.13
k127_66311 flag=1 multi=1.0000 len=429	0.0000	429	0.4639	0.0000	0	0	0	0.0000	0	0.00
k127_66411 flag=0 multi=55.7622 len=4437	0.0000	4437	0.4961	0.0000	0	0	0	0.0000	0	0.00
k127_68496 flag=1 multi=3.0000 len=433	0.0000	433	0.3464	0.0000	0	0	0	0.0000	0	0.00
k127_68736 flag=1 multi=3.0000 len=631	0.0000	631	0.5103	0.0000	0	0	0	0.0000	0	0.00
k127_68876 flag=1 multi=3.0000 len=435	0.0000	435	0.3494	0.0000	0	0	0	0.0000	0	0.00
k127_69169 flag=0 multi=139.2021 len=3334	0.0000	3334	0.3608	0.0000	0	0	0	0.0000	0	0.00
k127_69786 flag=1 multi=7.0000 len=718	0.0000	718	0.4373	0.0000	0	0	0	0.0000	0	0.00
k127_69792 flag=1 multi=2.0000 len=310	0.0000	310	0.5355	0.0000	0	0	0	0.0000	0	0.00
k127_70788 flag=0 multi=102.2464 len=618	32.4078	618	0.4644	99.8382	617	61	77	0.4500	31	15.11
k127_70884 flag=1 multi=2.0000 len=461	0.9761	461	0.4685	77.6573	358	1	2	0.4800	1	0.65
k127_70894 flag=1 multi=88.9126 len=825	99.8545	825	0.3442	100.0000	825	273	295	0.3420	104	27.24
k127_71077 flag=1 multi=19.0000 len=4550	4.4767	4550	0.5387	89.4505	4070	70	70	0.5401	3	4.06
k127_71201 flag=1 multi=5.0000 len=587	0.0000	587	0.4634	0.0000	0	0	0	0.0000	0	0.00
k127_71265 flag=1 multi=17.0000 len=3079	24.1085	3079	0.3777	100.0000	3079	252	257	0.3795	21	14.84
k127_72745 flag=1 multi=4.0000 len=636	0.0000	636	0.5283	0.0000	0	0	0	0.0000	0	0.00
k127_73400 flag=1 multi=3.0000 len=333	1.3123	333	0.5135	85.2853	284	2	1	0.5044	1	0.73
k127_74727 flag=1 multi=6.0000 len=694	0.0000	694	0.4049	0.0000	0	0	0	0.0000	0	0.00
k127_75341 flag=1 multi=3.0000 len=568	7.6426	568	0.5651	99.8239	567	14	15	0.5849	9	4.47
k127_76030 flag=1 multi=11.0000 len=579	0.0000	579	0.4698	0.0000	0	0	0	0.0000	0	0.00
k127_76208 flag=1 multi=3.0000 len=458	0.0000	458	0.4279	0.0000	0	0	0	0.0000	0	0.00
k127_76604 flag=1 multi=5.0000 len=522	0.0000	522	0.3927	0.0000	0	0	0	0.0000	0	0.00
k127_77492 flag=1 multi=5.0000 len=521	4.0038	521	0.3148	94.0499	490	8	6	0.3105	3	2.83
k127_77591 flag=1 multi=5.0000 len=1430	0.0000	1430	0.4203	0.0000	0	0	0	0.0000	0	0.00
k127_77692 flag=1 multi=3.0000 len=517	4.3346	517	0.4449	100.0000	517	9	7	0.4498	4	2.21
k127_78454 flag=1 multi=4.0000 len=1380	0.6522	1380	0.5522	12.2464	169	3	3	0.5800	0	1.80
k127_78989 flag=1 multi=3.0000 len=366	0.0000	366	0.3689	0.0000	0	0	0	0.0000	0	0.00
k127_79275 flag=1 multi=6.0000 len=954	0.0000	954	0.3878	0.0000	0	0	0	0.0000	0	0.00
k127_79594 flag=1 multi=1.0000 len=320	0.0000	320	0.3750	0.0000	0	0	0	0.0000	0	0.00
k127_79682 flag=1 multi=8.0000 len=2372	19.9650	2372	0.4448	100.0000	2372	170	158	0.4562	20	10.73
k127_79720 flag=1 multi=5.0000 len=376	0.0000	376	0.3777	0.0000	0	0	0	0.0000	0	0.00
k127_79940 flag=1 multi=1.0000 len=441	0.0000	441	0.4218	0.0000	0	0	0	0.0000	0	0.00
k127_80738 flag=1 multi=10.0000 len=4223	12.5243	4223	0.4018	100.0000	4223	183	182	0.3977	12	5.56
k127_80769 flag=1 multi=5.0000 len=429	0.0000	429	0.4965	0.0000	0	0	0	0.0000	0	0.00
k127_80793 flag=1 multi=865.0000 len=2415	1200.1954	2415	0.4538	100.0000	2415	9956	9957	0.4451	1076	638.01
k127_81464 flag=1 multi=4.0000 len=498	0.0000	498	0.4538	0.0000	0	0	0	0.0000	0	0.00
k127_81731 flag=1 multi=75.0000 len=9291	0.0000	9291	0.3528	0.0000	0	0	0	0.0000	0	0.00
k127_81926 flag=1 multi=6.0000 len=1217	0.0000	1217	0.3862	0.0000	0	0	0	0.0000	0	0.00
k127_82029 flag=1 multi=541.0000 len=4338	0.0000	4338	0.4357	0.0000	0	0	0	0.0000	0	0.00
k127_82117 flag=1 multi=4.0000 len=974	0.0000	974	0.4138	0.0000	0	0	0	0.0000	0	0.00
k127_82353 flag=1 multi=7.0000 len=457	8.7702	457	0.2998	100.0000	457	15	13	0.2941	9	3.83
k127_82414 flag=1 multi=3.0000 len=404	0.0000	404	0.5272	0.0000	0	0	0	0.0000	0	0.00
k127_83204 flag=1 multi=3.0000 len=335	0.0000	335	0.3313	0.0000	0	0	0	0.0000	0	0.00
k127_83368 flag=0 multi=16.7262 len=1219	21.9647	1219	0.4397	100.0000	1219	91	91	0.4395	24	8.25
k127_84204 flag=1 multi=11.3718 len=3231	0.0000	3231	0.4160	0.0000	0	0	0	0.0000	0	0.00
k127_84441 flag=1 multi=2.0000 len=343	0.0000	343	0.4227	0.0000	0	0	0	0.0000	0	0.00
k127_84571 flag=1 multi=4.0000 len=483	0.0000	483	0.5217	0.0000	0	0	0	0.0000	0	0.00
k127_85153 flag=1 multi=89.0000 len=551	0.0000	551	0.3466	0.0000	0	0	0	0.0000	0	0.00
k127_85444 flag=1 multi=27.3199 len=11282	26.2040	11282	0.4099	100.0000	11282	1013	1020	0.4140	24	13.72
k127_85566 flag=0 multi=75.8044 len=1088	0.5478	1088	0.3934	36.4890	397	2	2	0.3758	0	0.78
k127_85710 flag=1 multi=7.0000 len=305	6.2098	305	0.5115	83.9344	256	7	7	0.5111	6	4.06
k127_85944 flag=1 multi=53.9535 len=2084	161.7356	2084	0.4400	100.0000	2084	1265	1110	0.4528	124	166.32
k127_86131 flag=1 multi=4.0000 len=311	5.2186	311	0.3183	95.8199	298	5	6	0.3185	5	3.32
k127_86170 flag=1 multi=16.4212 len=1200	12.4225	1200	0.4975	100.0000	1200	51	51	0.5036	12	5.42
k127_87946 flag=1 multi=8.0000 len=842	0.0000	842	0.5392	0.0000	0	0	0	0.0000	0	0.00
k127_88119 flag=1 multi=3.0000 len=569	0.0000	569	0.3937	0.0000	0	0	0	0.0000	0	0.00
k127_88152 flag=0 multi=171.2393 len=1435	0.0000	1435	0.6167	0.0000	0	0	0	0.0000	0	0.00
k127_88444 flag=1 multi=8.0000 len=2011	10.4406	2011	0.4968	100.0000	2011	70	74	0.4973	11	5.40
k127_88591 flag=1 multi=24.8101 len=4329	0.0000	4329	0.4703	0.0000	0	0	0	0.0000	0	0.00
k127_88938 flag=1 multi=15.0000 len=321	20.2617	321	0.3614	100.0000	321	24	24	0.3541	19	12.23
k127_89111 flag=1 multi=2.0000 len=743	0.0000	743	0.4253	0.0000	0	0	0	0.0000	0	0.00
k127_89257 flag=1 multi=3.0000 len=304	0.0000	304	0.3421	0.0000	0	0	0	0.0000	0	0.00
k127_89266 flag=1 multi=20.0000 len=3286	0.0000	3286	0.3926	0.0000	0	0	0	0.0000	0	0.00
k127_89621 flag=1 multi=10.0000 len=3305	9.5582	3305	0.3891	100.0000	3305	107	110	0.3908	8	6.87
k127_89788 flag=0 multi=157.3183 len=2537	0.0000	2537	0.3488	0.0000	0	0	0	0.0000	0	0.00
k127_90051 flag=1 multi=2.0000 len=466	3.0730	466	0.5322	100.0000	466	5	5	0.5342	3	1.63
k127_90163 flag=0 multi=49.3234 len=2539	0.0000	2539	0.3391	0.0000	0	0	0	0.0000	0	0.00
k127_90376 flag=0 multi=7.0110 len=1038	0.0000	1038	0.4711	0.0000	0	0	0	0.0000	0	0.00
k127_90424 flag=0 multi=1.0000 len=417	979.6307	417	0.5252	100.0000	417	1386	1433	0.5864	724	749.25
k127_90861 flag=1 multi=2.0000 len=354	0.0000	354	0.5085	0.0000	0	0	0	0.0000	0	0.00
k127_91142 flag=1 multi=5.0000 len=758	0.0000	758	0.3892	0.0000	0	0	0	0.0000	0	0.00
k127_91234 flag=1 multi=10.0000 len=726	12.5014	726	0.3912	100.0000	726	34	33	0.3836	10	9.34
k127_91433 flag=1 multi=9.0000 len=3348	15.2195	3348	0.3808	100.0000	3348	178	173	0.3864	15	6.97
k127_91556 flag=1 multi=2.0000 len=337	0.0000	337	0.5163	0.0000	0	0	0	0.0000	0	0.00
k127_93364 flag=1 multi=6.0000 len=356	0.8427	356	0.4916	84.2697	300	2	0	0.4700	1	0.37
k127_93415 flag=1 multi=74.0000 len=3001	52.0383	3001	0.4975	100.0000	3001	539	539	0.4955	44	24.09
k127_93447 flag=1 multi=2.0000 len=301	0.0000	301	0.4419	0.0000	0	0	0	0.0000	0	0.00
k127_93476 flag=1 multi=3.0000 len=932	0.0000	932	0.3487	0.0000	0	0	0	0.0000	0	0.00
k127_93655 flag=1 multi=2.0000 len=614	0.0000	614	0.4511	0.0000	0	0	0	0.0000	0	0.00
k127_94089 flag=1 multi=3.0000 len=475	0.0000	475	0.5263	0.0000	0	0	0	0.0000	0	0.00
k127_94206 flag=1 multi=3.0000 len=309	0.0000	309	0.4854	0.0000	0	0	0	0.0000	0	0.00
k127_94691 flag=1 multi=5.0000 len=979	0.0000	979	0.5087	0.0000	0	0	0	0.0000	0	0.00
k127_94694 flag=1 multi=6.0000 len=719	2.3866	719	0.3449	58.4145	420	7	6	0.3491	2	2.35
k127_94758 flag=1 multi=4.0000 len=398	0.0000	398	0.2889	0.0000	0	0	0	0.0000	0	0.00
k127_95512 flag=1 multi=1.0000 len=381	0.0000	381	0.4777	0.0000	0	0	0	0.0000	0	0.00
k127_95888 flag=1 multi=7.0000 len=6596	0.0000	6596	0.3927	0.0000	0	0	0	0.0000	0	0.00
k127_96514 flag=1 multi=14.6447 len=3113	0.0000	3113	0.4941	0.0000	0	0	0	0.0000	0	0.00
k127_98143 flag=1 multi=6.0000 len=1079	0.0000	1079	0.4921	0.0000	0	0	0	0.0000	0	0.00
k127_98660 flag=1 multi=8.0000 len=4365	8.5033	4365	0.4016	100.0000	4365	126	127	0.4028	8	4.74
k127_99040 flag=1 multi=4.0000 len=740	0.0000	740	0.4230	0.0000	0	0	0	0.0000	0	0.00
k127_100512 flag=1 multi=3.0000 len=569	3.6116	569	0.4218	100.0000	569	7	7	0.4273	3	1.77
k127_100543 flag=1 multi=18.0000 len=1063	0.0000	1063	0.4534	0.0000	0	0	0	0.0000	0	0.00
k127_100544 flag=1 multi=5.0000 len=307	0.0000	307	0.4235	0.0000	0	0	0	0.0000	0	0.00
k127_100641 flag=1 multi=4.0000 len=606	0.0000	606	0.5099	0.0000	0	0	0	0.0000	0	0.00
k127_100670 flag=1 multi=3.0000 len=541	0.0000	541	0.4436	0.0000	0	0	0	0.0000	0	0.00
