#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_26270 flag=1 multi=5.0000 len=614	0.0000	614	0.4202	0.0000	0	0	0	0.0000	0	0.00
k127_26463 flag=1 multi=2.0000 len=412	0.7282	412	0.4102	61.6505	254	1	1	0.4033	1	0.65
k127_26648 flag=0 multi=199.2809 len=3812	0.0000	3812	0.3513	0.0000	0	0	0	0.0000	0	0.00
k127_27400 flag=1 multi=2.0000 len=303	0.0000	303	0.3993	0.0000	0	0	0	0.0000	0	0.00
k127_27502 flag=1 multi=1.0000 len=558	0.7168	558	0.3280	26.8817	150	1	2	0.3200	0	1.24
k127_28084 flag=1 multi=7.0000 len=1081	0.0000	1081	0.4080	0.0000	0	0	0	0.0000	0	0.00
k127_29606 flag=0 multi=424.5231 len=3943	0.0000	3943	0.4705	0.0000	0	0	0	0.0000	0	0.00
k127_29804 flag=1 multi=2.0000 len=439	0.0000	439	0.3941	0.0000	0	0	0	0.0000	0	0.00
k127_30314 flag=1 multi=4.0000 len=604	0.0000	604	0.4934	0.0000	0	0	0	0.0000	0	0.00
k127_30751 flag=1 multi=5.0000 len=440	0.0000	440	0.6114	0.0000	0	0	0	0.0000	0	0.00
k127_31748 flag=1 multi=5.0000 len=1287	0.0000	1287	0.3504	0.0000	0	0	0	0.0000	0	0.00
k127_32046 flag=1 multi=5.0000 len=711	0.0000	711	0.4248	0.0000	0	0	0	0.0000	0	0.00
k127_32048 flag=1 multi=1.0000 len=321	0.0000	321	0.3956	0.0000	0	0	0	0.0000	0	0.00
k127_32418 flag=1 multi=2.0000 len=325	0.0000	325	0.3815	0.0000	0	0	0	0.0000	0	0.00
k127_33261 flag=1 multi=9.3766 len=1322	0.0000	1322	0.4735	0.0000	0	0	0	0.0000	0	0.00
k127_33454 flag=1 multi=2.0000 len=319	0.0000	319	0.4169	0.0000	0	0	0	0.0000	0	0.00
k127_33985 flag=1 multi=4.0000 len=368	0.0000	368	0.3071	0.0000	0	0	0	0.0000	0	0.00
k127_34359 flag=1 multi=17.4779 len=5358	3.9518	5358	0.4569	86.6368	4642	74	72	0.4582	3	4.07
k127_34503 flag=1 multi=4.7710 len=603	0.0000	603	0.4726	0.0000	0	0	0	0.0000	0	0.00
k127_35244 flag=1 multi=6.1566 len=2490	0.0000	2490	0.4225	0.0000	0	0	0	0.0000	0	0.00
k127_35267 flag=1 multi=5.0000 len=574	0.0000	574	0.5017	0.0000	0	0	0	0.0000	0	0.00
k127_35478 flag=1 multi=8.0000 len=812	3.6293	812	0.4889	80.9113	657	11	10	0.5259	2	3.97
k127_35873 flag=0 multi=82.3483 len=6360	0.0000	6360	0.4431	0.0000	0	0	0	0.0000	0	0.00
k127_35898 flag=0 multi=12.0000 len=3031	0.0000	3031	0.5533	0.0000	0	0	0	0.0000	0	0.00
k127_36027 flag=1 multi=3.0000 len=347	0.0000	347	0.3314	0.0000	0	0	0	0.0000	0	0.00
k127_36066 flag=1 multi=2.0000 len=378	0.0000	378	0.4471	0.0000	0	0	0	0.0000	0	0.00
k127_36241 flag=1 multi=2.0000 len=307	0.0000	307	0.5407	0.0000	0	0	0	0.0000	0	0.00
k127_36249 flag=1 multi=2.0000 len=423	0.0000	423	0.3688	0.0000	0	0	0	0.0000	0	0.00
k127_36496 flag=1 multi=8.0000 len=893	1.6741	893	0.3225	86.4502	772	5	5	0.3271	1	1.43
k127_36709 flag=1 multi=3.0000 len=1236	0.0000	1236	0.5032	0.0000	0	0	0	0.0000	0	0.00
k127_36843 flag=1 multi=12.0000 len=1526	0.0000	1526	0.4345	0.0000	0	0	0	0.0000	0	0.00
k127_36990 flag=1 multi=5.0000 len=1930	0.1554	1930	0.5067	8.9119	172	1	1	0.4967	0	0.51
k127_37069 flag=1 multi=9.6857 len=1600	5.4419	1600	0.5050	93.5625	1497	31	30	0.5047	5	3.48
k127_37098 flag=1 multi=18.5092 len=4921	7.8801	4921	0.6308	98.1508	4830	137	134	0.6250	5	8.37
k127_37878 flag=1 multi=14.0000 len=3250	0.0000	3250	0.3982	0.0000	0	0	0	0.0000	0	0.00
k127_37960 flag=1 multi=1.0000 len=436	0.0000	436	0.3716	0.0000	0	0	0	0.0000	0	0.00
k127_38114 flag=1 multi=2.0000 len=551	0.0000	551	0.4664	0.0000	0	0	0	0.0000	0	0.00
k127_38549 flag=1 multi=6.0000 len=436	0.0000	436	0.3807	0.0000	0	0	0	0.0000	0	0.00
k127_40574 flag=1 multi=2.0000 len=312	0.0000	312	0.3333	0.0000	0	0	0	0.0000	0	0.00
k127_40924 flag=0 multi=42.9851 len=3492	0.0000	3492	0.5384	0.0000	0	0	0	0.0000	0	0.00
k127_41989 flag=1 multi=4.0000 len=418	0.0000	418	0.4211	0.0000	0	0	0	0.0000	0	0.00
k127_42019 flag=1 multi=6.0000 len=938	0.0000	938	0.4232	0.0000	0	0	0	0.0000	0	0.00
k127_42261 flag=1 multi=11.0000 len=4572	5.1148	4572	0.3911	95.1444	4350	81	81	0.3762	4	4.48
k127_42891 flag=1 multi=3.0000 len=396	0.0000	396	0.3687	0.0000	0	0	0	0.0000	0	0.00
k127_43089 flag=1 multi=3.0000 len=587	0.0000	587	0.3799	0.0000	0	0	0	0.0000	0	0.00
k127_43442 flag=0 multi=127.8411 len=920	0.0000	920	0.4033	0.0000	0	0	0	0.0000	0	0.00
k127_43859 flag=1 multi=7.0000 len=917	0.0000	917	0.4711	0.0000	0	0	0	0.0000	0	0.00
k127_43872 flag=1 multi=4.0000 len=541	0.0000	541	0.4603	0.0000	0	0	0	0.0000	0	0.00
k127_44196 flag=1 multi=2.0000 len=340	1.7647	340	0.4324	72.9412	248	2	2	0.4417	2	1.28
k127_44379 flag=0 multi=356.6250 len=5223	29.1941	5223	0.3889	100.0000	5223	531	531	0.3839	24	20.59
k127_44436 flag=1 multi=5.0000 len=315	0.0000	315	0.4508	0.0000	0	0	0	0.0000	0	0.00
k127_44956 flag=1 multi=7.0000 len=841	0.0000	841	0.3080	0.0000	0	0	0	0.0000	0	0.00
k127_45096 flag=1 multi=6.0000 len=391	0.7008	391	0.3683	35.0384	137	1	1	0.3504	0	0.95
k127_45989 flag=1 multi=4.0000 len=905	0.0000	905	0.4309	0.0000	0	0	0	0.0000	0	0.00
k127_46349 flag=1 multi=68.1169 len=3121	0.0000	3121	0.5376	0.0000	0	0	0	0.0000	0	0.00
k127_46371 flag=0 multi=75.2975 len=1344	0.8690	1344	0.4762	14.5833	196	5	3	0.4426	0	2.31
k127_46872 flag=1 multi=6.0000 len=306	0.0000	306	0.4967	0.0000	0	0	0	0.0000	0	0.00
k127_46887 flag=1 multi=10.0000 len=2605	0.2303	2605	0.3965	15.2399	397	2	2	0.3767	0	0.61
k127_47102 flag=1 multi=2.0000 len=541	0.0000	541	0.4972	0.0000	0	0	0	0.0000	0	0.00
k127_47607 flag=0 multi=49.0560 len=395	0.0000	395	0.4228	0.0000	0	0	0	0.0000	0	0.00
k127_48193 flag=0 multi=121.3249 len=5122	23.5699	5122	0.4584	99.4338	5093	418	422	0.4516	18	21.94
k127_48457 flag=1 multi=9.0000 len=440	0.0000	440	0.4068	0.0000	0	0	0	0.0000	0	0.00
k127_48873 flag=1 multi=3.0000 len=319	0.0000	319	0.3668	0.0000	0	0	0	0.0000	0	0.00
k127_48987 flag=1 multi=1.0000 len=365	0.0000	365	0.3534	0.0000	0	0	0	0.0000	0	0.00
k127_49836 flag=1 multi=4.0000 len=317	0.0000	317	0.3186	0.0000	0	0	0	0.0000	0	0.00
k127_49972 flag=1 multi=5.0000 len=430	0.0000	430	0.4349	0.0000	0	0	0	0.0000	0	0.00
k127_50052 flag=1 multi=3.0000 len=1122	0.0000	1122	0.3164	0.0000	0	0	0	0.0000	0	0.00
k127_50374 flag=1 multi=8.0000 len=301	0.0000	301	0.5349	0.0000	0	0	0	0.0000	0	0.00
k127_50401 flag=1 multi=2.0000 len=355	0.0000	355	0.4254	0.0000	0	0	0	0.0000	0	0.00
k127_53038 flag=1 multi=5.0000 len=535	0.0000	535	0.4075	0.0000	0	0	0	0.0000	0	0.00
k127_53737 flag=1 multi=7.0000 len=1486	5.8782	1486	0.5222	93.1359	1384	30	30	0.5109	5	4.28
k127_54190 flag=1 multi=3.0000 len=429	0.0000	429	0.4172	0.0000	0	0	0	0.0000	0	0.00
k127_54997 flag=1 multi=5.0000 len=392	0.0000	392	0.3495	0.0000	0	0	0	0.0000	0	0.00
k127_55311 flag=1 multi=1.0000 len=322	0.0000	322	0.3416	0.0000	0	0	0	0.0000	0	0.00
k127_57463 flag=1 multi=3.0000 len=513	1.1657	513	0.4483	41.5205	213	2	2	0.4816	0	1.52
k127_57474 flag=1 multi=6.0000 len=551	0.0000	551	0.3013	0.0000	0	0	0	0.0000	0	0.00
k127_58135 flag=1 multi=3.0000 len=324	0.0000	324	0.4352	0.0000	0	0	0	0.0000	0	0.00
k127_58849 flag=1 multi=8.0000 len=924	0.0000	924	0.5108	0.0000	0	0	0	0.0000	0	0.00
k127_59617 flag=1 multi=3.0000 len=375	0.0000	375	0.4987	0.0000	0	0	0	0.0000	0	0.00
k127_59664 flag=1 multi=2.0000 len=526	1.4163	526	0.4335	33.6502	177	2	3	0.4081	0	2.12
k127_60276 flag=1 multi=8.0000 len=1456	0.0000	1456	0.5110	0.0000	0	0	0	0.0000	0	0.00
k127_60811 flag=1 multi=3.0000 len=979	0.0000	979	0.3851	0.0000	0	0	0	0.0000	0	0.00
k127_61251 flag=1 multi=2.0000 len=413	0.7264	413	0.3826	46.9734	194	1	1	0.3967	0	0.84
k127_61387 flag=1 multi=6.0000 len=915	0.0000	915	0.4568	0.0000	0	0	0	0.0000	0	0.00
k127_61442 flag=1 multi=7.0000 len=1261	0.0000	1261	0.3632	0.0000	0	0	0	0.0000	0	0.00
k127_61570 flag=1 multi=4.0000 len=677	0.0000	677	0.4372	0.0000	0	0	0	0.0000	0	0.00
k127_62139 flag=1 multi=4.0000 len=531	0.0000	531	0.4388	0.0000	0	0	0	0.0000	0	0.00
k127_62985 flag=1 multi=1.0000 len=303	0.0000	303	0.3795	0.0000	0	0	0	0.0000	0	0.00
k127_63371 flag=1 multi=1.0000 len=350	24.3286	350	0.3143	100.0000	350	44	17	0.3173	25	6.54
k127_63659 flag=1 multi=13.6697 len=348	0.0000	348	0.3621	0.0000	0	0	0	0.0000	0	0.00
k127_64629 flag=1 multi=83.0000 len=341	0.0000	341	0.3930	0.0000	0	0	0	0.0000	0	0.00
k127_65141 flag=1 multi=4.0000 len=809	1.1063	809	0.3585	42.7689	346	3	3	0.3408	0	1.53
k127_65311 flag=1 multi=70.7291 len=2991	14.2294	2991	0.4009	94.4835	2826	147	147	0.4124	10	12.24
k127_65704 flag=0 multi=106.0000 len=1803	24.3073	1803	0.4581	100.0000	1803	135	173	0.4511	22	14.35
k127_66311 flag=1 multi=1.0000 len=429	0.0000	429	0.4639	0.0000	0	0	0	0.0000	0	0.00
k127_66411 flag=0 multi=55.7622 len=4437	0.0000	4437	0.4961	0.0000	0	0	0	0.0000	0	0.00
k127_68496 flag=1 multi=3.0000 len=433	0.0000	433	0.3464	0.0000	0	0	0	0.0000	0	0.00
k127_68736 flag=1 multi=3.0000 len=631	0.0000	631	0.5103	0.0000	0	0	0	0.0000	0	0.00
k127_68876 flag=1 multi=3.0000 len=435	0.0000	435	0.3494	0.0000	0	0	0	0.0000	0	0.00
k127_69169 flag=0 multi=139.2021 len=3334	0.0000	3334	0.3608	0.0000	0	0	0	0.0000	0	0.00
k127_69786 flag=1 multi=7.0000 len=718	2.5028	718	0.4373	77.1588	554	6	6	0.4157	3	1.74
k127_69792 flag=1 multi=2.0000 len=310	0.0000	310	0.5355	0.0000	0	0	0	0.0000	0	0.00
k127_70788 flag=0 multi=102.2464 len=618	0.0000	618	0.4644	0.0000	0	0	0	0.0000	0	0.00
k127_70884 flag=1 multi=2.0000 len=461	0.0000	461	0.4685	0.0000	0	0	0	0.0000	0	0.00
k127_70894 flag=1 multi=88.9126 len=825	0.0000	825	0.3442	0.0000	0	0	0	0.0000	0	0.00
k127_71077 flag=1 multi=19.0000 len=4550	3.6925	4550	0.5387	85.9121	3909	58	59	0.5375	2	4.36
k127_71201 flag=1 multi=5.0000 len=587	0.0000	587	0.4634	0.0000	0	0	0	0.0000	0	0.00
k127_71265 flag=1 multi=17.0000 len=3079	0.0000	3079	0.3777	0.0000	0	0	0	0.0000	0	0.00
k127_72745 flag=1 multi=4.0000 len=636	0.0000	636	0.5283	0.0000	0	0	0	0.0000	0	0.00
k127_73400 flag=1 multi=3.0000 len=333	0.4505	333	0.5135	45.0450	150	1	0	0.4933	0	0.50
k127_74727 flag=1 multi=6.0000 len=694	0.0000	694	0.4049	0.0000	0	0	0	0.0000	0	0.00
k127_75341 flag=1 multi=3.0000 len=568	0.0000	568	0.5651	0.0000	0	0	0	0.0000	0	0.00
k127_76030 flag=1 multi=11.0000 len=579	0.0000	579	0.4698	0.0000	0	0	0	0.0000	0	0.00
k127_76208 flag=1 multi=3.0000 len=458	0.0000	458	0.4279	0.0000	0	0	0	0.0000	0	0.00
k127_76604 flag=1 multi=5.0000 len=522	0.0000	522	0.3927	0.0000	0	0	0	0.0000	0	0.00
k127_77492 flag=1 multi=5.0000 len=521	0.0000	521	0.3148	0.0000	0	0	0	0.0000	0	0.00
k127_77591 flag=1 multi=5.0000 len=1430	0.0000	1430	0.4203	0.0000	0	0	0	0.0000	0	0.00
k127_77692 flag=1 multi=3.0000 len=517	0.0000	517	0.4449	0.0000	0	0	0	0.0000	0	0.00
k127_78454 flag=1 multi=4.0000 len=1380	0.0000	1380	0.5522	0.0000	0	0	0	0.0000	0	0.00
k127_78989 flag=1 multi=3.0000 len=366	0.0000	366	0.3689	0.0000	0	0	0	0.0000	0	0.00
k127_79275 flag=1 multi=6.0000 len=954	0.0000	954	0.3878	0.0000	0	0	0	0.0000	0	0.00
k127_79594 flag=1 multi=1.0000 len=320	0.0000	320	0.3750	0.0000	0	0	0	0.0000	0	0.00
k127_79682 flag=1 multi=8.0000 len=2372	0.0000	2372	0.4448	0.0000	0	0	0	0.0000	0	0.00
k127_79720 flag=1 multi=5.0000 len=376	0.0000	376	0.3777	0.0000	0	0	0	0.0000	0	0.00
k127_79940 flag=1 multi=1.0000 len=441	0.0000	441	0.4218	0.0000	0	0	0	0.0000	0	0.00
k127_80738 flag=1 multi=10.0000 len=4223	0.0000	4223	0.4018	0.0000	0	0	0	0.0000	0	0.00
k127_80769 flag=1 multi=5.0000 len=429	0.0000	429	0.4965	0.0000	0	0	0	0.0000	0	0.00
k127_80793 flag=1 multi=865.0000 len=2415	1.9313	2415	0.4538	53.9545	1303	16	16	0.4173	1	2.39
k127_81464 flag=1 multi=4.0000 len=498	1.0502	498	0.4538	54.4177	271	2	2	0.4398	2	0.98
k127_81731 flag=1 multi=75.0000 len=9291	0.0000	9291	0.3528	0.0000	0	0	0	0.0000	0	0.00
k127_81926 flag=1 multi=6.0000 len=1217	0.0000	1217	0.3862	0.0000	0	0	0	0.0000	0	0.00
k127_82029 flag=1 multi=541.0000 len=4338	0.0304	4338	0.4357	3.0429	132	0	1	0.4167	0	0.17
k127_82117 flag=1 multi=4.0000 len=974	0.0000	974	0.4138	0.0000	0	0	0	0.0000	0	0.00
k127_82353 flag=1 multi=7.0000 len=457	1.1794	457	0.2998	43.5449	199	2	2	0.3117	0	1.48
k127_82414 flag=1 multi=3.0000 len=404	0.0000	404	0.5272	0.0000	0	0	0	0.0000	0	0.00
k127_83204 flag=1 multi=3.0000 len=335	0.0000	335	0.3313	0.0000	0	0	0	0.0000	0	0.00
k127_83368 flag=0 multi=16.7262 len=1219	0.0000	1219	0.4397	0.0000	0	0	0	0.0000	0	0.00
k127_84204 flag=1 multi=11.3718 len=3231	0.0000	3231	0.4160	0.0000	0	0	0	0.0000	0	0.00
k127_84441 flag=1 multi=2.0000 len=343	0.0000	343	0.4227	0.0000	0	0	0	0.0000	0	0.00
k127_84571 flag=1 multi=4.0000 len=483	0.0000	483	0.5217	0.0000	0	0	0	0.0000	0	0.00
k127_85153 flag=1 multi=89.0000 len=551	0.0000	551	0.3466	0.0000	0	0	0	0.0000	0	0.00
k127_85444 flag=1 multi=27.3199 len=11282	0.0000	11282	0.4099	0.0000	0	0	0	0.0000	0	0.00
k127_85566 flag=0 multi=75.8044 len=1088	10.6296	1088	0.3934	96.4154	1049	37	42	0.3916	10	8.23
k127_85710 flag=1 multi=7.0000 len=305	0.0000	305	0.5115	0.0000	0	0	0	0.0000	0	0.00
k127_85944 flag=1 multi=53.9535 len=2084	3.7893	2084	0.4400	76.6315	1597	28	28	0.4490	3	3.98
k127_86131 flag=1 multi=4.0000 len=311	0.0000	311	0.3183	0.0000	0	0	0	0.0000	0	0.00
k127_86170 flag=1 multi=16.4212 len=1200	0.5000	1200	0.4975	31.2500	375	2	2	0.4967	0	0.79
k127_87946 flag=1 multi=8.0000 len=842	0.0000	842	0.5392	0.0000	0	0	0	0.0000	0	0.00
k127_88119 flag=1 multi=3.0000 len=569	0.0000	569	0.3937	0.0000	0	0	0	0.0000	0	0.00
k127_88152 flag=0 multi=171.2393 len=1435	0.0000	1435	0.6167	0.0000	0	0	0	0.0000	0	0.00
k127_88444 flag=1 multi=8.0000 len=2011	0.0000	2011	0.4968	0.0000	0	0	0	0.0000	0	0.00
k127_88591 flag=1 multi=24.8101 len=4329	0.0000	4329	0.4703	0.0000	0	0	0	0.0000	0	0.00
k127_88938 flag=1 multi=15.0000 len=321	0.0000	321	0.3614	0.0000	0	0	0	0.0000	0	0.00
k127_89111 flag=1 multi=2.0000 len=743	0.0000	743	0.4253	0.0000	0	0	0	0.0000	0	0.00
k127_89257 flag=1 multi=3.0000 len=304	0.0000	304	0.3421	0.0000	0	0	0	0.0000	0	0.00
k127_89266 flag=1 multi=20.0000 len=3286	0.0000	3286	0.3926	0.0000	0	0	0	0.0000	0	0.00
k127_89621 flag=1 multi=10.0000 len=3305	0.0000	3305	0.3891	0.0000	0	0	0	0.0000	0	0.00
k127_89788 flag=0 multi=157.3183 len=2537	0.0000	2537	0.3488	0.0000	0	0	0	0.0000	0	0.00
k127_90051 flag=1 multi=2.0000 len=466	0.0000	466	0.5322	0.0000	0	0	0	0.0000	0	0.00
k127_90163 flag=0 multi=49.3234 len=2539	0.0000	2539	0.3391	0.0000	0	0	0	0.0000	0	0.00
k127_90376 flag=0 multi=7.0110 len=1038	0.0000	1038	0.4711	0.0000	0	0	0	0.0000	0	0.00
k127_90424 flag=0 multi=1.0000 len=417	0.0000	417	0.5252	0.0000	0	0	0	0.0000	0	0.00
k127_90861 flag=1 multi=2.0000 len=354	0.0000	354	0.5085	0.0000	0	0	0	0.0000	0	0.00
k127_91142 flag=1 multi=5.0000 len=758	0.0000	758	0.3892	0.0000	0	0	0	0.0000	0	0.00
k127_91234 flag=1 multi=10.0000 len=726	0.0000	726	0.3912	0.0000	0	0	0	0.0000	0	0.00
k127_91433 flag=1 multi=9.0000 len=3348	0.0000	3348	0.3808	0.0000	0	0	0	0.0000	0	0.00
k127_91556 flag=1 multi=2.0000 len=337	0.0000	337	0.5163	0.0000	0	0	0	0.0000	0	0.00
k127_93364 flag=1 multi=6.0000 len=356	4.9607	356	0.4916	91.2921	325	7	5	0.4700	4	3.43
k127_93415 flag=1 multi=74.0000 len=3001	14.3349	3001	0.4975	99.0337	2972	150	150	0.4910	11	10.79
k127_93447 flag=1 multi=2.0000 len=301	0.0000	301	0.4419	0.0000	0	0	0	0.0000	0	0.00
k127_93476 flag=1 multi=3.0000 len=932	0.0000	932	0.3487	0.0000	0	0	0	0.0000	0	0.00
k127_93655 flag=1 multi=2.0000 len=614	0.0000	614	0.4511	0.0000	0	0	0	0.0000	0	0.00
k127_94089 flag=1 multi=3.0000 len=475	0.0000	475	0.5263	0.0000	0	0	0	0.0000	0	0.00
k127_94206 flag=1 multi=3.0000 len=309	0.0000	309	0.4854	0.0000	0	0	0	0.0000	0	0.00
k127_94691 flag=1 multi=5.0000 len=979	0.0000	979	0.5087	0.0000	0	0	0	0.0000	0	0.00
k127_94694 flag=1 multi=6.0000 len=719	0.0000	719	0.3449	0.0000	0	0	0	0.0000	0	0.00
k127_94758 flag=1 multi=4.0000 len=398	0.0000	398	0.2889	0.0000	0	0	0	0.0000	0	0.00
k127_95512 flag=1 multi=1.0000 len=381	0.0000	381	0.4777	0.0000	0	0	0	0.0000	0	0.00
k127_95888 flag=1 multi=7.0000 len=6596	0.0000	6596	0.3927	0.0000	0	0	0	0.0000	0	0.00
k127_96514 flag=1 multi=14.6447 len=3113	3.3206	3113	0.4941	71.1854	2216	36	36	0.4992	2	3.93
k127_98143 flag=1 multi=6.0000 len=1079	0.0000	1079	0.4921	0.0000	0	0	0	0.0000	0	0.00
k127_98660 flag=1 multi=8.0000 len=4365	0.0000	4365	0.4016	0.0000	0	0	0	0.0000	0	0.00
k127_99040 flag=1 multi=4.0000 len=740	0.0000	740	0.4230	0.0000	0	0	0	0.0000	0	0.00
k127_100512 flag=1 multi=3.0000 len=569	0.0000	569	0.4218	0.0000	0	0	0	0.0000	0	0.00
k127_100543 flag=1 multi=18.0000 len=1063	0.0000	1063	0.4534	0.0000	0	0	0	0.0000	0	0.00
k127_100544 flag=1 multi=5.0000 len=307	0.0000	307	0.4235	0.0000	0	0	0	0.0000	0	0.00
k127_100641 flag=1 multi=4.0000 len=606	0.0000	606	0.5099	0.0000	0	0	0	0.0000	0	0.00
k127_100670 flag=1 multi=3.0000 len=541	1.9353	541	0.4436	98.5213	533	3	4	0.4355	2	1.02
k127_100893 flag=1 multi=13.0000 len=1628	0.0000	1628	0.4791	0.0000	0	0	0	0.0000	0	0.00
