Label,RdRp GenBank Acc,NCBI Tax ID,virus name,taxonomy,Family,Checked,Host
558850612,AHA91819.1,1427155,Cassava_alphaflexivirus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;unclassified Alphaflexiviridae;Cassava alphaflexivirus",Alphaflexiviridae,y,Plants
9628108,NP_042695.1,39046,Cassava_common_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Cassava common mosaic virus",Alphaflexiviridae,y,Plants
290874956,ADD65542.1,742819,Cassia_mild_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Allexivirus;unclassified Allexivirus;Cassia mild mosaic virus",Alphaflexiviridae,y,Plants
13182719,NP_077079.1,12177,Clover_yellow_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Clover yellow mosaic virus",Alphaflexiviridae,y,Plants
163636960,ABY27302.1,12178,Cymbidium_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Cymbidium mosaic virus",Alphaflexiviridae,y,Plants
821350853,AKH39765.1,1400526,Donkey_orchid_symptomless_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Platypuvirus;Donkey orchid symptomless virus",Alphaflexiviridae,y,Plants
559797736,YP_008828152.1,1400526,Donkey_orchid_symptomless_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Platypuvirus;Donkey orchid symptomless virus",Alphaflexiviridae,y,Plants
564614788,AHB87051.1,1417306,Escobaria_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;unclassified Alphaflexiviridae;Escobaria virus",Alphaflexiviridae,y,Plants
158268265,ABW25054.1,12179,Foxtail_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Foxtail mosaic virus",Alphaflexiviridae,y,Plants
940785374,ALK24278.1,12430,Garlic_virus_D,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Allexivirus;Garlic virus D",Alphaflexiviridae,y,Plants
212671454,YP_002308464.1,214439,Hosta_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Hosta virus X",Alphaflexiviridae,y,Plants
985481721,BAU45640.1,112228,Hydrangea_ringspot_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Hydrangea ringspot virus",Alphaflexiviridae,y,Plants
15426407,NP_203553.1,104664,Indian_citrus_ringspot_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Mandarivirus;Indian citrus ringspot virus",Alphaflexiviridae,y,Plants
306773718,BAJ17497.1,717848,Lagenaria_mild_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Lagenaria mild mosaic virus",Alphaflexiviridae,y,Plants
190336507,YP_001960940.1,447171,Lettuce_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Lettuce virus X",Alphaflexiviridae,y,Plants
70980513,YP_263303.1,12194,Lily_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Lily virus X",Alphaflexiviridae,y,Plants
169803201,YP_001718499.1,365150,Lolium_latent_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Lolavirus;Lolium latent virus",Alphaflexiviridae,y,Plants
110611897,YP_667844.1,392174,Malva_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Malva mosaic virus",Alphaflexiviridae,y,Plants
62327434,YP_224134.1,301865,Mint_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Mint virus X",Alphaflexiviridae,y,Plants
37905678,AAP51012.1,231981,Narcissus_mosaic_virus_strain_New_Zealand,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Narcissus mosaic virus;Narcissus mosaic virus strain New Zealand",Alphaflexiviridae,y,Plants
343409214,AEM23890.1,333348,Nerine_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Nerine virus X",Alphaflexiviridae,y,Plants
50428561,YP_054407.1,253702,Opuntia_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Opuntia virus X",Alphaflexiviridae,y,Plants
9629168,NP_044330.1,12181,Papaya_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Papaya mosaic virus",Alphaflexiviridae,y,Plants
57282625,CAE54464.1,112229,Pepino_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Pepino mosaic virus",Alphaflexiviridae,y,Plants
166197718,YP_001655010.1,457382,Phaius_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Phaius virus X",Alphaflexiviridae,y,Plants
662565992,YP_009046882.1,1176736,Pitaya_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;unclassified Potexvirus;Pitaya virus X",Alphaflexiviridae,y,Plants
1002359463,AMN10083.1,28354,Plantago_asiatica_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Plantago asiatica mosaic virus",Alphaflexiviridae,y,Plants
743209,2012194A,12182,Potato_aucuba_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Potato aucuba mosaic virus",Alphaflexiviridae,y,Plants
301171113,BAJ12046.1,12183,Potato_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Potato virus X",Alphaflexiviridae,y,Plants
217337294,YP_002341559.1,253700,Schlumbergera_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Schlumbergera virus X",Alphaflexiviridae,y,Plants
76253627,YP_325662.1,213034,Sclerotinia_sclerotiorum_debilitation_associated_RNA_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Sclerodarnavirus;Sclerotinia sclerotiorum debilitation-associated RNA virus",Alphaflexiviridae,y,Fungi
1052487869,YP_009270630.1,1881013,Senna_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;unclassified Potexvirus;Senna mosaic virus",Alphaflexiviridae,y,Plants
442738916,AGC67029.1,31770,Shallot_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Allexivirus;Shallot virus X",Alphaflexiviridae,y,Plants
937638389,ALI93575.1,12187,Strawberry_mild_yellow_edge_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Strawberry mild yellow edge virus",Alphaflexiviridae,y,Plants
346683611,YP_004849314.1,1081702,Tamus_red_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Tamus red mosaic virus",Alphaflexiviridae,y,Plants
23578029,NP_702988.1,167132,Tulip_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Tulip virus X",Alphaflexiviridae,y,Plants
20564146,NP_620715.1,12188,White_clover_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;White clover mosaic virus",Alphaflexiviridae,y,Plants
745788231,AJD23381.1,1503864,Yam_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;unclassified Potexvirus;Yam virus X",Alphaflexiviridae,y,Plants
697403858,YP_009091814.1,1503864,Yam_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;unclassified Potexvirus;Yam virus X",Alphaflexiviridae,y,Plants
385282595,AFI57885.1,253701,Zygocactus_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Zygocactus virus X",Alphaflexiviridae,y,Plants
48697149,YP_025094.1,272751,Dendrolimus_punctatus_tetravirus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Alphatetraviridae;Omegatetravirus;unclassified Omegatetravirus;Dendrolimus punctatus tetravirus",Alphatetraviridae,y,Insects
9632271,NP_049235.1,37206,Helicoverpa_armigera_stunt_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Alphatetraviridae;Omegatetravirus;Helicoverpa armigera stunt virus",Alphatetraviridae,y,Insects
9631280,NP_048059.1,85652,Nudaurelia_capensis_beta_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Alphatetraviridae;Betatetravirus;Nudaurelia capensis beta virus",Alphatetraviridae,y,Insects
78210729,BAE47071.1,331975,Heterocapsa_circularisquama_RNA_virus,Viruses;ssRNA viruses;unassigned ssRNA viruses;Alvernaviridae;Dinornavirus;Heterocapsa circularisquama RNA virus,Alvernaviridae,y,Dinoflagellates
308814348,YP_003934623.1,430710,Blueberry_latent_virus,Viruses;dsRNA viruses;Amalgaviridae;Amalgavirus;Blueberry latent virus,Amalgaviridae,y,Plants
306478698,YP_003868436.1,878260,Rhododendron_virus_A,Viruses;dsRNA viruses;Amalgaviridae;Amalgavirus;Rhododendron virus A,Amalgaviridae,y,Plants
721347776,AIX09819.1,591166,Southern_tomato_virus,Viruses;dsRNA viruses;Amalgaviridae;Amalgavirus;Southern tomato virus,Amalgaviridae,y,Plants
1039444689,ANN12897.1,114871,Zygosaccharomyces_bailii_virus_Z,Viruses;dsRNA viruses;Amalgaviridae;unclassified Amalgaviridae;Zygosaccharomyces bailii virus Z,Amalgaviridae,y,Plants
164607203,YP_001649212.1,144752,Allpahuayo_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Allpahuayo mammarenavirus,Arenaviridae,y,Mammals
164607200,YP_001649216.1,45218,Amapar_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Amapar mammarenavirus,Arenaviridae,y,Mammals
846119579,AKN10715.1,1672381,Aurora_borealis_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Aurora borealis virus,Arenaviridae,y,Reptiles
164519633,AAP44539.2,192848,Bear_Canyon_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Bear Canyon mammarenavirus,Arenaviridae,y,Mammals
570339333,AHE76148.1,1437125,Cardamones_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;unclassified Arenaviridae;Cardamones virus,Arenaviridae,y,Mammals
401829643,YP_006590093.1,1223561,CAS_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;Alethinophid 3 reptarenavirus;CAS virus,Arenaviridae,y,Reptiles
172088176,YP_001816785.1,499556,Chapare_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Chapare mammarenavirus,Arenaviridae,y,Mammals
164607212,YP_001649218.1,208899,Cupixi_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Cupixi mammarenavirus,Arenaviridae,y,Mammals
189026273,YP_001936024.1,45220,Flexal_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Flexal mammarenavirus,Arenaviridae,y,Mammals
749717247,YP_009116793.1,1535802,Gairo_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Gairo mammarenavirus,Arenaviridae,y,Mammals
1020216205,AMZ00453.1,45219,Guanarito_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Guanarito mammarenavirus,Arenaviridae,y,Mammals
846119517,AKN10711.1,1672380,Haartman_Institute_snake_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Haartman Institute snake virus,Arenaviridae,y,Reptiles
89902997,YP_516233.1,55096,Ippy_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Ippy mammarenavirus,Arenaviridae,y,Mammals
927338588,ALE15105.1,11619,Junin_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Junin mammarenavirus,Arenaviridae,y,Mammals
1134943196,APX61227.1,1938700,Kaltenbach_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Kaltenbach virus,Arenaviridae,y,Reptiles
316308876,ADU56621.1,11620,Lassa_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lassa mammarenavirus,Arenaviridae,y,Mammals
695315332,AIT17661.1,11620,Lassa_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lassa mammarenavirus,Arenaviridae,y,Mammals
695316024,AIT17835.1,11620,Lassa_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lassa mammarenavirus,Arenaviridae,y,Mammals
1046349411,AMR44580.2,11620,Lassa_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lassa mammarenavirus,Arenaviridae,y,Mammals
1032562927,ANH09760.1,11620,Lassa_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lassa mammarenavirus,Arenaviridae,y,Mammals
189026279,YP_001936026.1,45221,Latino_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Latino mammarenavirus,Arenaviridae,y,Mammals
570339339,AHE76152.1,1437126,Loie_River_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;unclassified Arenaviridae;Loie River virus,Arenaviridae,y,Mammals
238890542,YP_002929493.1,649188,Lujo_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lujo mammarenavirus,Arenaviridae,y,Mammals
356491222,YP_004933733.1,883876,Luna_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Luna mammarenavirus,Arenaviridae,y,Mammals
408354105,YP_006858709.1,1134579,Lunk_virus_NKS_1,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lunk mammarenavirus;Lunk virus NKS-1,Arenaviridae,y,Mammals
61655720,AAX49344.1,11623,Lymphocytic_choriomeningitis_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lymphocytic choriomeningitis mammarenavirus,Arenaviridae,y,Mammals
115383199,ABI96821.1,11623,Lymphocytic_choriomeningitis_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Lymphocytic choriomeningitis mammarenavirus,Arenaviridae,y,Mammals
1020216111,AMZ00406.1,11628,Machupo_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Arenaviridae,y,Mammals
827047578,YP_009141008.1,1642436,Mariental_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Mariental mammarenavirus,Arenaviridae,y,Mammals
594140723,YP_009019199.1,743685,Merino_Walk_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Merino Walk mammarenavirus,Arenaviridae,y,Mammals
89903003,YP_516229.1,55097,Mobala_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Mobala mammarenavirus,Arenaviridae,y,Mammals
425867868,AFY05543.1,300180,Mopeia_Lassa_virus_reassortant_29,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;unclassified Arenaviridae;Arenavirus;Old world arenaviruses;unclassified Old world arenaviruses;Mopeia Lassa virus reassortant 29,Arenaviridae,y,Mammals
255237731,YP_003090217.1,573900,Morogoro_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;unclassified Arenaviridae;Morogoro mammarenavirus,Arenaviridae,y,Mammals
827047582,YP_009141010.1,1642458,Okahandja_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Okahandja mammarenavirus,Arenaviridae,y,Mammals
164607197,YP_001649214.1,42764,Oliveros_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Oliveros mammarenavirus,Arenaviridae,y,Mammals
189026282,YP_001936028.1,45222,Parana_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Parana mammarenavirus,Arenaviridae,y,Mammals
156103994,ABU39911.1,11630,Pichinde_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Pichinde mammarenavirus,Arenaviridae,y,Mammals
164519639,AAP44541.2,49891,Pirital_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Pirital mammarenavirus,Arenaviridae,y,Mammals
753248273,AJI43721.1,1609158,Praomys_arenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;unclassified Arenaviridae;Arenavirus;New world arenaviruses;unclassified New world arenaviruses;Praomys arenavirus,Arenaviridae,y,Mammals
770340473,AJW68782.1,1630134,Rat_arenavirus_1,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;unclassified Arenaviridae;Arenavirus;Old world arenaviruses;unclassified Old world arenaviruses;Rat arenavirus 1,Arenaviridae,y,Mammals
164519642,AAP44542.2,45709,Sabia_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Sabia mammarenavirus,Arenaviridae,y,Mammals
846119307,AKN10698.1,1672383,Suri_Vanera_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Suri Vanera virus,Arenaviridae,y,Reptiles
607235393,AHW46357.1,11631,Tacaribe_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Tacaribe mammarenavirus,Arenaviridae,y,Mammals
186909558,ACC94304.1,45223,Tamiami_mammarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Mammarenavirus;Tamiami mammarenavirus,Arenaviridae,y,Mammals
1134943190,APX61223.1,1672384,Tavallinen_suomalainen_mies_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Tavallinen suomalainen mies virus,Arenaviridae,y,Reptiles
821492036,AKH48918.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492070,AKH48937.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492177,AKH48980.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492207,AKH48991.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492210,AKH48993.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492216,AKH48996.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492234,AKH49005.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492253,AKH49015.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492258,AKH49017.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492287,AKH49031.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492316,AKH49043.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492426,AKH49085.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492452,AKH49097.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492526,AKH49123.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492671,AKH49177.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
821492679,AKH49181.1,1654823,unidentified_Reptarenavirus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;unidentified Reptarenavirus,Arenaviridae,y,Reptiles
846119267,AKN10696.1,1672385,University_of_Giessen_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;University of Giessen virus,Arenaviridae,y,Reptiles
846119492,AKN10710.1,1382279,University_of_Helsinki_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;Alethinophid 2 reptarenavirus;University of Helsinki virus,Arenaviridae,y,Reptiles
597941178,YP_009019203.1,1382279,University_of_Helsinki_virus,Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae;Reptarenavirus;Alethinophid 2 reptarenavirus;University of Helsinki virus,Arenaviridae,y,Reptiles
